particle n.微粒,极小量
juxtaposition n.  毗邻, 并置
platitudinous a.平凡的,  陈腐的
moralize v.  教化 ,说教
platitude n.  陈词滥调
irreverent a.  不敬的,  无礼的
megalopolis n.  巨大都市, 人口稠密地带
conurbation n.  有卫星城的大都市
elusive a.  难懂的, 难捉摸的
scowl n. 愁容, 皱眉 v. 皱眉
subterranean a.  地下的
pharmacy n.  药房, 药剂学
gyration n.  旋回, 回转
miraculous a. 奇迹的,不可思议的
grainy a.  粒状的, 木纹状的
vagueness n.  暧昧, 含糊
urbanize vt.  使都市化, 使文雅
quaint a.  离奇有趣的, 奇怪的
counterclockwise n./a.反时针方向(的)
entanglement n.  纠缠
diagonally ad. 斜对地,  对角地
rustproof a. 不锈的, 抗锈的
galvanize v.  通电流于, 电镀
matrilinear a.  母系的
underworld n.  黑社会
crimp v.起皱, 卷曲, 抑制
serrate a.  锯齿状的
well-defined a.  定义明确的, 明确的
convivial a.  好交际的, 愉快而随和的
foreshadow v.  预示
plaint n.  [诗]悲叹, 抱怨
waterborne ad.  水上的,  水运的
amazement n.  惊愕, 惊异
urgency n.  紧急, 紧急的事
unpromising a.  没有希望的(结果未必良好的)
deter v.  阻止
bluntly ad.  坦率地, 率直地
overcharge v.  讨价过高,夸张,过度充电
subclass n.  [生]亚纲, 子集
stagecoach n.  驿马车, 公共马车
steamboat n.  轮船, 汽艇
simplistic a.过分简单化的
teapot n.  茶壶
rationally ad. 理性地
prominence n.  突出, 显著
importer n.  输入者, 进口商
foundry n.铸造, 铸造场
systematize v.  系统化
singly ad.  单独地, 个别地
gloss n.光泽，注解
refinement n.  精致, 文雅
earthworm n.  蚯蚓
lateral n.  侧部, 支线 a.侧面的
intimately ad. 密切地,  亲密地
nostril n.  鼻孔
bis ad.  二度, 二回
uniqueness n. 唯一性, 独特性
deferential a. 恭敬的, 顺从的
shaper n.  造形者, 塑造者
genial a.  亲切的
avocational n. 娱乐,  消遣
occupancy n.  占有
mildly ad.  温和地, 适度地
ethnographic a.民族志学的,  人种志学的
wearability n. 耐磨性, 磨损性
masthead n.  桅顶, 报头
gazette n.  报纸, 政府的公报
disc n.  圆盘, 唱片
spheroidal a. 球状的
flattish a.  有点平凡的, 稍平的
businesswoman n.  妇女实业家
expo n.  博览会, 展览会
signer n. 签名人, (用手势) 示意者
silurian a.  〈地〉志留纪的
explosively ad.  爆发地, 引起爆炸地
lastly ad.  最后, 终于
culminate v.  达到顶点
frill n.皱边
facilitation n.  简易化, 助长
provocative a.  煽动的 n.  刺激物
megafossil n.大化石
cryptic a.  秘密的, 含义模糊的
genesis n.  起源
conspiracy n.  共谋, 阴谋
jobber n.  临时工, 批发商
wholesaler n.  批发商
sweatshop n.  血汗工厂(指工人劳动条件差,工作时间长,工资低的工场或工厂)
retailer n.  零售商人
orthopteran n.  直翅类的昆虫
heyday n.全盛时期
sideline n.  副业, 边界线
modicum n.  少量, 一点点
decorator n.  油漆工
wonderfully ad.令人惊讶地；奇妙地
unimaginable a.  不能想象的, 想象不到的
ruthlessly ad.  冷酷地, 残忍地
unknowing a.  没查觉的, 无知的
scruple n./v. 踌躇, 犹豫
equitable a.  公平的, 公正的
laurasia n.  [地质] 劳亚古大陆
innkeeper n.  旅馆主人
peddler n.  小贩, 传播者
educationally ad. 教育的, 有关教育的
constellation n.  [天]星群, 星座
working n.  工作
grandparent n.  祖父或祖母, 祖父母
contractor n.  订约人, 承包人
cubism n.  立体派
woodcarving n.  木雕, 木刻
prodigy n.  惊人的事物, 天才
nonconformist a.  不信奉英国国教的 n.  非国教徒
fascination n.  魔力,  魅力, 迷恋
profitability n.  收益性, 利益率
renter n.  租贷人
claimant n.要求者,申请者, 原告
sadden v.  悲哀
skeletally a.  骨骼的, 梗概的
muscularly a.   肌肉的
tinplate n.  镀锡铁皮, 马口铁
starch n.  淀粉
packer n.  包装工人, 打包机
negate vt.  否定, 打消
creeper n.  爬行者
bluebird n.  北美产的蓝知更鸟
lark n.  云雀, 百灵鸟
communally ad.共同地, 社区地
sociably ad.  和蔼可亲地
obsolete a.已废弃的, 过时的
rarefy v.  稀薄
crossbones n.  交叉腿骨的图形
figurehead n.  装饰船头的雕像, 破浪神
snipe n.  [鸟]鹬
intricately ad.  杂乱地,  复杂地
icon n.  图标, 肖像
antelope n.  羚羊
interferometer n.  干涉计
proprietorship n.  所有权
aie n.急性包涵(体)脑炎
imbibe v.  吸收
agility n.  敏捷, 活泼
delightful a. 令人愉快的,  可喜的
overheat v.使过热， 变得过热
rehydrate v.  [化] 再水化, 再水合
efficacy n.  功效, 效验
dilution n.  稀释
festive a.  庆祝的, 喜庆的
bust n.  半身像, 胸像
equestrian a.  骑马的 n.  骑手
urn n.  瓮, 缸
timidity n.  胆怯
stonemason n. 石匠
biter n.  咬人的动物, 骗子
plainspoken a.  老实说的,直言的
grit n.  粗砂 v.  研磨
aero a.  航空的,  飞行的
cheapen v.  减价, 跌价
thorny a.多刺的, 痛苦的
inchworm n.  [昆] 尺蠖
escalator n. 电动扶梯
smite v.  重击
indifference n.  不关心
eyelid n.  眼皮, 眼睑
comfortably ad.舒适地
hatchet n.  短柄斧
axe n.  斧, (经费的)大削减
ambidextrous a.十分灵巧的
attributable a. 可归因于 ... 的
predominance n.  优势
petrify v.  石化,吓呆
ferromagnetic a.铁磁的
occupant n.  占有者, 居住者
inflexible a.  不可弯曲的, 僵硬的
lotus n.  [植] 莲(花).a.贪图安乐的
inexplicable a.无法解释的，难理解的
therapeutic a.  治疗的, 治疗学的 n.治疗剂, 治疗学家
restrictive a.  限制性的
ail vi.生病，使苦恼
unbind vt.  解开, 解放
grecian a.  希腊的, 希腊式的 n.  希腊学家
defender n.  防卫者, 拥护者
volcanism n.  火山作用
subduction n.[地]潜没(指地壳的板块沉到另一板块之下)
electrocardiogram n.  .[医]心电图
electroencephalogram n.  [医]脑电图
blackout n.  灯火管制，断电
jolt v./ n.(使)颠簸；震动
bandleader n.  伴舞乐队的指挥
ballroom n.  舞厅, 跳舞场
memorandum n.  备忘录, 便笺
pepper n.  胡椒粉
accusation n.  谴责, [律]指控
obligate vt.  使负义务 a.  有责任的
forbearance n.自制，忍耐
maverick a.标新立异的；持不同意见的
commemorate vt.  纪念
blower n.  吹制工, 送风机
decor n.  舞台装饰
fresco n. 壁画 vt.  作壁画于
rook n.白嘴鸦；赌棍  vt.骗
equilateral a.  等边的 n.  等边形
romanticize v.  浪漫化, 传奇化
misconception n.  误解
tessellation n.棋盘形嵌石饰
cate n. 佳肴, 美食
officeholder n.官员,公务员
pentagon n.五角形, 五边形
corset n.束腹, 妇女的胸衣.vt.严格控制
sheepskin n.羊皮(革,纸), 毕业证书
denomination n.面额,名称,教派
breech n.臀部,后膛.vt. 给…穿上裤子
mitigate v.减轻,缓和
feud n.不和,争执.vi.长期争斗
ted vt.翻晒.n.泰德
venturesome a.危险的,冒险的
knuckle n.指节, 关节.v.开始工作
familiarization n.亲密, 熟悉, 精通
bulldoze v.威吓, 欺负
mason n.泥瓦匠.vt. 用砖瓦砌成
woodlot n.植林地(尤指附属林场地)
profoundly ad.深深地, 衷心地
hone n.磨（刀）石vt.用磨刀石磨
tele n.电视
uncounted a.无数的,没有数过的
profiteer n.奸商.vi.牟取暴利
arsenal n.兵工厂, 军械库
ordnance n.军火
tycoon n.企业界大亨, 将军
stickpin n.领带夹(指插于领带上的装饰别针)
flamboyant a.辉耀的,艳丽的
rumble v.隆隆声,低沉地说.n. 隆隆声, 吵嚷声
gunfire n.炮火
ameliorate v.改善, 改进
easy-access a.便于接近,易于检修
heartbreak n.心碎；伤心事
northerner n.北国人, 北方人
tingle v.造成麻刺的感觉,使感刺痛
achingly ad.极其,非常痛地
dishonest a.不诚实的
roadway n.车行道, 路面
promoter n.促进者, 助长者
hydra n.[希神]九头怪蛇, 难以根除之祸害, [动]水螅
coelenterate n.[动]腔肠动物.a.腔肠动物的
plantlike a.似植物的
homeownership n.房主
traction n.牵引,牵引力
dictaphone n.录音电话机（商标名称） [商标名] 录音机
succinctly ad.简洁地, 简便地
codify v.把…编成法典, 编纂
airy a.通风的, 轻快的
reconstitute vt.重新组成, 重新设立
overexploitation n.(对资源等的)过度开采,(对工人等的)过度剥削
designation n.指示, 指定, 名称
entrench v.以壕沟防护,保护
thousandth a.第一千的, 千分之一的
woodworking n.木工艺, 木工行业.a. 干木工活的
demolition n.毁坏, 毁坏之遗迹
magnification n.扩大, 放大倍率
sawyer n.锯木匠, 漂流水中的树木
wavy a.波状的,不稳的
cooper n.制桶工人.v.制桶
forestall vt.之前, 先...(用先发制人的方法)预防, 阻止
melange n.混合物, 杂录
waterside n./.a. 水边(的),湖畔(的)
irrational a.无理性的, 失去理性的.n.无理数
improbable a.不大可能的, 不像会发生的, 似不可信的
kiosk n.亭子
cordwainer n.鞋匠
sear a.烤焦的, 枯萎的.v.  烤焦,变干枯
negligibly ad.可忽略不计地, 微不足道地, 极小地
abut v.邻接, 毗邻
annex n.附件.vt. 并吞, 附加
proliferate vi.繁殖,使 ... 激增, 使 ... 扩散
spank vt. 鞭策...前进.vi.轻快的移动.n. 拍击
peart a.有精神的, 快活的
indonesia n.印尼(东南亚岛国)
thailand n.泰国
biodiversity n.生物多样性
newberry n. 纽伯里
keenly ad.敏锐地, 强烈地, 热心地
captivate vt.迷住, 迷惑
philanthropist n.慈善家,博爱的人
purplish a.略带紫色的
venerable a.值得尊敬的, 庄严的
sargeant n.萨金特
gentility n.文雅, 出身高贵, 有教养
plasticity n.可塑性, 塑性
adolescent a.青春期的.n.青少年
regimentation n.管辖,严格控制
rarer a.稀罕的,  珍贵的
jibe v.嘲笑, 与...一致, 使转向
knead vt.揉(面等)成团, 按摩
nonchalant a.若无其事的, 不关心的, 冷淡的
humanlike a.似人类的
boron n.  [化]硼
topographically ad.  地形地
mandatory a.命令的, 托管的
scholarly a.学者气质的, 学者风度的
offering n.提供, 奉献物
chlorine n.[化]氯
bromine n.[化]溴
gush v.涌出,滔滔不绝.n.迸发
kea n.食肉鹦鹉
hillbilly n.山地内部的贫农,乡下人
pont n.(南非的)缆拉渡船
resettle v.(使)重新定居,再坐下来
pivotal a.重要的, 轴的
untimely a./ad.不适时的, 不合时宜的.
pointe n.（芭蕾舞中的）足尖舞
woodcutting a.木雕的.n.  伐木, 木刻
circulatory a.循环的, 循环系统的
variance n.不一致, 变化,
affiliate v.使隶属于.n.附属机构
unquestioning a.无条件的, 不犹豫的
primatology n.灵长类动物学
demerit n.缺点,过失
inferiority n.自卑, 次等
tyrannical a.暴虐的, 压制的, 残暴的
potentiality n.(用复数)潜能,可能性
applicability n.适用性, 适应性
enlightenment n.启迪, 教化
glossy a.平滑的, 有光泽的
relevance n.中肯, 适当
wanderer n.流浪者, 徘徊者, 迷路的动物
rebirth n.复活, 新生
unfertilized a.未施肥的,  未受精的
untreated a.未经处理的, 未经治疗的
folklore n.民间传说, 民俗学
fumigate vt.熏制, 以烟熏消毒
unverified a.未经证实的,  未经核对的
uncontested a.无争论的, 无异议的
nutritionist n.营养学家
dismal a.阴沉的, 凄凉的n. 沼泽
roe n.鱼卵,獐鹿
unrecognizable a.未被承认的, 无法识别的
directive n.指示.a.指导的
unreachable a.不能到达的,  不能得到的
slowness n.缓慢, 迟钝
herculean a.极困难的,需要大力气的
colossal a.巨大的,  <口>异常的
imprisonment n.关押,监禁
wold n.无树木的山地, 荒野
abalone n.[动]鲍鱼(软体动物)
mime n.哑剧.v.做哑剧表演
sun-dried a.太阳晒干的
dram n.  液量特兰(药衡系统中的容量单位),  少量
retool v.将机械重新整备, 重组
urchin n.顽童, [动物]刺猥, [动物]海胆
relational a.有关系的, 亲属的
demobilize vt.使复员, 使退伍, 遣散
palimpsest n.重写本
hermetic a.密封的, 与外界隔绝的
lust n.繁殖力, 强烈的性欲.vi.强烈欲望
posthumously ad.在死后
outfit n.  用具, 全套装配, vt.  配备, 装备
maw n.动物的胃,口部
bryn n.布琳
consistency n.坚固性, 浓度, 一致性
sentimentalism n.感情主义, 沉于情感
philosophic a.哲学的, 哲学家的
trilogy n.三部剧, 三部曲
diction n.措辞, 用语, 言语
stylish a.时髦的, 漂亮的, 流行的
arena n.竞技场, 舞台
storehouses n.仓库,  储藏所,  宝藏
uncharted a.地图上没标明的,未知的
hanker vi.渴望, 追求
rattlesnake n.<美>[动]响尾蛇
glamorous a.富有魅力的, 迷人的
garb n.服装.v. 装扮
collarless a.无领的,无马轭(或颈圈)的
cowhand n.<美>(牧场的)牧牛工
taxonomy n.分类法, 分类学
narrower a.有限的, 精密的.n.海峡
evenness n.平均, 平等, 平坦
poikilotherm n.[动]变温动物,冷血动物
depositor n.寄托者, 存款人
lyrically ad.抒情地,  狂热地
theatrically ad.戏剧化地
splinter n.尖片, 碎片.vt.分裂
tonnage n.登记吨位, 排水量
seagoing a.适于远航的,出海的
mainsheet n.  主桅帆操纵索
oblivious a.没注意到, 健忘的
coaming n.舱口栏板, 边材
lad n.少年, 青年男子
choppy a.（海等）波浪起伏的, (指风)不断改变方向的
illustrator n.插图画家,说明者
ectothermic n.变温动物
poikilothermic a.[动]变温的, 冷血动物的
locomote vi.移动, 行动
inadequately ad.不够地,  不够好
onetime a.从前的,  一度的.ad.从前
citation n.引用,表扬
comical a.好笑的, 滑稽的
mollusk n.[动]软体动物
rediscover vt.重新发现
eminent a.著名的,  卓越的
bleak a.寒冷的,荒凉的, 黯淡的
sequester vt.使隐退, 扣押, 没收
metazoan n./a.[动]后生动物(的)
abreast ad.并肩地, 并排地
serum n.浆液, 血清
adrenaline n.肾上腺素(使激动兴奋等)
milieu n.周围, 环境
compensatory a.赔偿的, 补偿的
unconventional a.非传统的, 不合惯例的
gibe v.嘲笑,讥笑.n.嘲笑
proprietor n.所有者, 经营者
lintel n.[建]楣, 过梁
untapped a.塞子未开的, 未使用的
mysteriously ad.神秘地,  故弄玄虚地
corral n.畜栏.vt.关进畜栏
playwright n.剧作家
cuban n.古巴人.a.古巴(人)的
char vt.烧焦.n.碳
tavernkeeper n.小餐馆老板
upgrade n.升级, 上升.vt.使升级, 提升.ad.往上
slavish a.奴隶的, 盲从的, 专横的
emotive a.感情的, 引起强烈感情的
physic n.医术.vt.治愈
synapsis n.[生]染色体结合, 突触
unsophisticated a.不谙世故的, 不复杂的
unspoiled a.未损坏的, 未宠坏的
arthritis n.关节炎
whim n.一时的兴致, 奇想
hospitable a.好客的, 宜人的
carnivorous a.食肉的, 肉食性的
depredation n.掠夺, 破坏痕迹
nostalgia n.乡愁, 怀旧之情
stewpot n.双把炖锅
adolescence n.青春期
toronto n.多伦多（加拿大）
narrowly ad.勉强地, 精细地
spar n. 争论,园材(如桅,桁等)
dough n.生面团
flair n.才能, 本领
esoteric a. 秘传的,  神秘的,  难懂的
potion n.一服, 一剂
laboriously ad. 艰难地,  辛勤地
elixir n.炼金药, 不老长寿药
inextricably ad.分不开地, 无法摆脱地
imprecise a.不精确的
quaker n.教友派信徒, 贵格会会员
alternately ad.交替地,轮流地
thermodynamic a.热力学的, 使用热动力的
uncrumple vt.去掉…的皱纹,使回复到平整状态
untwist v.拆开(搓合的绳,线等), 解开
selfless a.无私的
fanatical a.狂热的, 入迷的
coax vt.巧妙地（耐心地）处理,哄
flue n.烟道, 暖气管
pivot n.枢轴.vi.在枢轴上转动
coordination n.协调
